"","industry_code","industry_title"
"1","C0000000","Verarbeitendes Gewerbe"
"2","CONG0000","Verarbeitendes Gewerbe (ohne Ernährungsgewerbe)"
"3","C00000A0","Herstellung von Vorleistungsgütern"
"4","C00000B0","Herstellung von Investitionsgütern"
"5","C00000C0","Herstellung von Konsumgütern (Ge- und Verbrauchsgüter)"
"6","C0000CD0","Herstellung von Gebrauchsgütern"
"7","C0000CN0","Herstellung von Verbrauchsgütern"
"8","CONG00C0","Herstellung von Konsumgütern (ohne Ernährungsgewerbe)"
"9","C2220000","Herstellung von Kunststoffwaren"
"10","C2221000","Herstellung von Platten  Folien  Schläuchen und Profilen"
"11","C2222000","Herstellung von Verpackungsmitteln aus Kunststoffen"
"12","C2223000","Herstellung von Baubedarfsartikeln aus Kunststoffen"
"13","C2229000","Herstellung von sonstigen Kunststoffwaren"
"14","C2300000","Glas-  Keramikgewerbe  Verarbeitung von Steinen und Erden"
"15","C2310000","Herstellung von Glas und Glaswaren"
"16","C2312000","Veredelung und Bearbeitung von Flachglas"
"17","C2313000","Herstellung von Hohlglas"
"18","C2319000","Herstellung von technischen Glaswaren"
"19","C2330000","Herstellung von keramischen Baumaterialien"
"20","C2340000","Herstellung von sonstiger Keramik "
"21","C2341000","Herstellung von keramischen Haushaltswaren"
"22","C2350000","Herstellung von Zement  Kalk und gebranntem Gips"
"23","C2351000","Herstellung von Zement"
"24","C2360000","Herstellung von Erzeugnissen aus Beton  Zement und Gips"
"25","C2361000","Herstellung von Erzeugnissen aus Beton"
"26","C2370000","Be- und Verarbeitung von Naturwerk- und Natursteinen"
"27","C2390000","Herstellung sonstiger nichtmetallischer Erzeugnisse a.n.g."
"28","C2391000","Herstellung von Schleifkörpern und Schleifmitteln"
"29","C2400000","Metallerzeugung und -bearbeitung"
"30","C2420000","Herstellung von Stahlrohren"
"31","C2440000","Erzeugung und erste Bearbeitung von NE-Metallen"
"32","C2450000","Gießereien"
"33","C2450010","Eisen-  Stahl- und Temperguss"
"34","C2450020","NE-Metallguss"
"35","C2500000","Herstellung von Metallerzeugnissen"
"36","C2510000","Stahl- und Leichtmetallbau"
"37","C2511000","Herstellung von Metallkonstruktionen"
"38","C2512000","Herstellung von Ausbauelementen aus Metall"
"39","C2520000","Herstellung von Metalltanks  Heizkörpern und -kesseln"
"40","C2521000","Herstellung von Heizkesseln und -körpern für Zentralheizungen"
