"","question_code","question_title"
"1","KLD","Geschäftsklima"
"2","GUS","Geschäftslage Beurteilung"
"3","GES","Geschäftslage Erwartungen"
"4","LUS","Fertigwarenlager Beurteilung"
"5","BUS","Auftragsbestand Beurteilung"
"6","XUS","Auftragsbestand Beurteilung Export"
"7","AVS","Nachfrage gegen Vormonat"
"8","BVS","Auftragsbestand gegen Vormonat"
"9","QVS","Produktion gegen Vormonat"
"10","PVS","Preise gegen Vormonat"
"11","QES","Produktionspläne"
"12","PWS","Preiserwartungen"
"13","XES","Exporterwartungen"
"14","BES","Beschäftigtenerwartungen"
"15","PRS","Produktivitätserwartungen"
